created_at,source,original_text,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,place
Fri Jun 18 17:55:49 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",🚨,0.0,0.0,en,548,612.0,ketuesriche,551,351,,,,Mass
Fri Jun 18 17:55:59 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",A,0.0,0.0,en,195,92.0,Grid1949,66,92,,,,"Edinburgh, Scotland"
Fri Jun 18 17:56:07 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",f,0.0,0.0,en,2,1.0,LeeTomlinson8,1195,1176,,,,
Fri Jun 18 17:56:10 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",r,0.0,0.0,en,1580,899.0,RIPNY08,2666,2704,,,,
Fri Jun 18 17:56:20 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",i,0.0,0.0,en,72,20.0,pash22,28250,30819,,,,United Kingdom
Fri Jun 18 17:56:25 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",c,0.0,0.0,en,683,220.0,SandhraLee,759,4163,,,,USA
Fri Jun 18 17:56:44 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",a,0.0,0.0,en,536,347.0,neilwalton48,221,599,,,,
Fri Jun 18 17:56:46 +0000 2021,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>", ,0.0,0.0,en,536,348.0,Candide62,154,1102,,,,"Nord-Pas-de-Calais, France"
Fri Jun 18 17:56:46 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",i,0.0,0.0,en,197,93.0,AnneCar51323293,115,2030,,,,
Fri Jun 18 17:56:47 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",s,0.0,0.0,en,3,1.0,DarkaDuna2014,94,144,,,,"Bilbao, País Vasco"
Fri Jun 18 17:56:52 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>", ,0.0,0.0,en,685,221.0,Jmilio54,15,43,,,,
Fri Jun 18 17:56:54 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","""",0.0,0.0,en,52,28.0,LilyWad75051099,474,361,,,,
Fri Jun 18 17:56:58 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",i,0.0,0.0,en,0,,SammyEyong,14,80,False,,,
Fri Jun 18 17:57:06 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",n,0.0,0.0,en,4,2.0,trekkerteach12,7778,5990,,,,
Fri Jun 18 17:57:12 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>", ,0.0,0.0,en,22,6.0,emet_news_press,9765,7035,False,,,Global
Fri Jun 18 17:57:16 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",t,0.0,0.0,en,0,,edjimimi,371,605,,,,"Austin, TX"
Fri Jun 18 17:57:18 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",h,0.0,0.0,en,5,3.0,SheriD17536431,470,1240,,,,Nashville
Fri Jun 18 17:57:19 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",e,0.0,0.0,en,67,77.0,DuncanSteele8,48,74,,,,
Fri Jun 18 17:57:20 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>", ,0.0,0.0,en,55,32.0,ChrisRamsden4,678,570,,,,Kent
Fri Jun 18 17:57:22 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",m,0.0,0.0,en,6,3.0,stevenlwalker,5769,1848,,,,Bending stuff towards justice
Fri Jun 18 17:57:24 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",i,0.0,0.0,en,203,95.0,yuccaldo,1309,2618,,,,"#mRNA/@pfizer 1.shot, 23.04"
